Date/Time,Location,Sunlight,Magnetic field strength,Temperature,Humidity
2022-04-16 03:31:10.337233,IERS2010 latitude -30.4520 N longitude -0.7575 E elevation 424508.4 m,In darkness,"x: 25.077390670776367, y: 0.0778231993317604, z: -8.179091453552246",34.938°C,30.3287%
2022-04-16 03:31:25.429214,IERS2010 latitude -29.7700 N longitude -0.0154 E elevation 424197.1 m,In darkness,"x: 25.665861129760742, y: -0.11643823981285095, z: -8.089279174804688",34.9914°C,28.138%
2022-04-16 03:31:40.536469,IERS2010 latitude -29.0823 N longitude 0.7167 E elevation 423886.0 m,In darkness,"x: 25.644189834594727, y: -0.04382765293121338, z: -8.025553703308105",34.8314°C,30.2828%
2022-04-16 03:31:55.634644,IERS2010 latitude -28.3904 N longitude 1.4379 E elevation 423575.9 m,In darkness,"x: 25.570764541625977, y: -0.2645535171031952, z: -8.023834228515625",34.9736°C,29.1905%
2022-04-16 03:32:10.765073,IERS2010 latitude -27.6923 N longitude 2.1506 E elevation 423266.2 m,In darkness,"x: 25.442594528198242, y: -0.2595774829387665, z: -7.837275505065918",34.9736°C,29.8514%
2022-04-16 03:32:25.864922,IERS2010 latitude -26.9913 N longitude 2.8520 E elevation 422958.5 m,In darkness,"x: 25.181730270385742, y: -0.31217944622039795, z: -7.973052978515625",34.9558°C,30.5122%
2022-04-16 03:32:40.974904,IERS2010 latitude -26.2856 N longitude 3.5445 E elevation 422652.1 m,In darkness,"x: 24.931381225585938, y: -0.39790818095207214, z: -7.887878894805908",34.9736°C,28.7805%
2022-04-16 03:32:56.074580,IERS2010 latitude -25.5764 N longitude 4.2275 E elevation 422347.8 m,In darkness,"x: 24.761470794677734, y: -0.5876553654670715, z: -8.04955005645752",34.9203°C,29.0865%
2022-04-16 03:33:11.166865,IERS2010 latitude -24.8637 N longitude 4.9015 E elevation 422045.6 m,In darkness,"x: 24.566373825073242, y: -0.7258135676383972, z: -8.137972831726074",34.9736°C,28.9121%
2022-04-16 03:33:26.304260,IERS2010 latitude -24.1451 N longitude 5.5691 E elevation 421744.9 m,In darkness,"x: 24.43857765197754, y: -0.8886584639549255, z: -8.304519653320312",34.9558°C,29.1691%
2022-04-16 03:33:41.382660,IERS2010 latitude -23.4257 N longitude 6.2261 E elevation 421447.8 m,In darkness,"x: 24.27764320373535, y: -1.028208613395691, z: -8.199932098388672",34.9025°C,29.0253%
2022-04-16 03:33:56.470680,IERS2010 latitude -22.7026 N longitude 6.8757 E elevation 421153.3 m,In darkness,"x: 24.111051559448242, y: -1.1228407621383667, z: -8.140196800231934",34.8847°C,29.0895%
2022-04-16 03:34:11.562132,IERS2010 latitude -21.9760 N longitude 7.5181 E elevation 420861.8 m,In darkness,"x: 23.88791847229004, y: -1.2328875064849854, z: -8.033577919006348",34.8847°C,29.2547%
2022-04-16 03:34:26.644972,IERS2010 latitude -21.2467 N longitude 8.1531 E elevation 420573.6 m,In darkness,"x: 23.622331619262695, y: -1.4534367322921753, z: -7.867245197296143",34.938°C,29.4291%
